iter	Passed	Remaining
0	2	2481
1	2	1469
2	3	1035
3	3	808
4	3	681
5	3	592
6	3	525
7	3	483
8	4	463
9	4	431
10	4	410
11	4	403
12	5	395
13	5	386
14	5	371
15	5	357
16	6	352
17	6	341
18	6	331
19	6	328
20	6	321
21	7	314
22	7	310
23	7	303
24	7	300
25	7	293
26	8	292
27	8	292
28	8	288
29	8	284
30	9	282
31	9	279
32	9	275
33	9	271
34	9	269
35	10	273
36	10	275
37	10	272
38	10	270
39	11	268
40	11	269
41	11	270
42	12	268
43	12	265
44	12	264
45	12	261
46	12	260
47	13	259
48	13	258
49	13	256
50	13	255
51	14	255
52	14	254
53	14	253
54	14	252
55	14	251
56	15	249
57	15	251
58	15	250
59	16	251
60	16	253
61	16	253
62	17	252
63	17	251
64	17	250
65	17	249
66	17	248
67	18	248
68	18	247
69	18	247
70	18	246
71	18	244
72	19	243
73	19	241
74	19	242
75	19	242
76	20	242
77	20	241
78	20	240
79	20	239
80	21	238
81	21	238
82	21	238
83	21	238
84	22	237
85	22	237
86	22	237
87	22	236
88	23	236
89	23	236
90	23	235
91	23	236
92	24	236
93	24	235
94	24	234
95	24	234
96	25	233
97	25	233
98	25	234
99	25	232
100	26	232
101	26	233
102	26	231
103	26	231
104	27	230
105	27	229
106	27	229
107	27	229
108	28	229
109	28	229
110	28	229
111	28	228
112	28	227
113	29	226
114	29	226
115	29	225
116	29	224
117	29	224
118	30	223
119	30	223
120	30	223
121	30	222
122	31	222
123	31	223
124	31	222
125	32	222
126	32	222
127	32	222
128	33	222
129	33	222
130	33	222
131	33	221
132	33	221
133	34	220
134	34	219
135	34	219
136	35	220
137	35	220
138	35	220
139	35	219
140	36	219
141	36	219
142	36	218
143	36	218
144	36	218
145	37	217
146	37	217
147	37	216
148	37	215
149	37	215
150	38	215
151	38	214
152	38	214
153	39	214
154	39	213
155	39	213
156	39	212
157	39	211
158	40	211
159	41	215
160	41	215
161	41	215
162	41	214
163	42	215
164	42	214
165	42	213
166	42	212
167	42	211
168	42	211
169	43	210
170	43	210
171	43	210
172	43	209
173	44	209
174	44	208
175	44	207
176	44	207
177	44	206
178	44	205
179	45	205
180	45	204
181	45	204
182	45	203
183	45	203
184	46	203
185	46	203
186	46	202
187	46	201
188	46	201
189	47	200
190	47	199
191	47	199
192	47	199
193	47	199
194	48	199
195	48	199
196	48	198
197	48	197
198	49	198
199	49	197
200	49	197
201	50	197
